DateTime,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2004-1-1-1,32064,16,16,64,1746.0,13850,9631.0,14522,13036,3245.0,3192,3265.0,1429.0,1376.0,23333,121,219,0,0,1244,0,202,0,107
2004-1-1-10,2128248,1062,1062,4248,1093217.0,1090800,1318691.0,1323804,2434027,132337.0,136604,113793.0,-1454.0,2472.0,800848,7166,15583,0,2,1778,904,2452,0,268
2004-1-1-11,2272536,1134,1134,4536,1278421.0,1279407,1514391.0,1514367,2404164,144171.0,146760,124744.0,1106.0,3495.0,860639,8444,16821,0,1,1857,674,2756,0,853
2004-1-1-12,2314620,1155,1155,4620,1421432.0,1415224,1671732.0,1670426,2684381,145408.0,149442,128045.0,946.0,4980.0,877219,7010,16139,0,0,2401,1043,2671,0,1185
2004-1-1-13,2344680,1170,1170,4680,1552625.0,1543113,1811575.0,1807324,2460966,139062.0,144251,121520.0,1451.0,6640.0,837469,7150,16808,0,0,3375,698,1214,0,2125
2004-1-1-14,2298588,1147,1147,4588,1641160.0,1633118,1873462.0,1872069,2655321,138307.0,142531,120590.0,2202.0,6196.0,817612,8592,15284,0,1,2503,355,1931,13,2802
2004-1-1-15,2408808,1202,1202,4808,1837377.0,1832324,2074850.0,2076941,2574975,140190.0,144957,120479.0,1292.0,5631.0,816767,9530,17179,0,2,2585,494,1518,0,2944
2004-1-1-16,2200392,1098,1098,4392,1787325.0,1783378,1989390.0,1986626,2521456,131685.0,135888,116662.0,965.0,5108.0,762139,7195,14879,0,1,2323,479,1483,41,1974
2004-1-1-17,2571132,1283,1283,5132,2218375.0,2212465,2441127.0,2441492,2791237,163685.0,166787,136467.0,1755.0,4448.0,927999,12594,19501,0,2,3126,294,2652,18,2043
2004-1-1-18,2192376,1094,1094,4376,2000401.0,1993109,2180871.0,2182849,2449917,139826.0,141840,116554.0,4902.0,6916.0,803719,10743,17329,0,0,4210,636,2760,0,2868
2004-1-1-19,1973940,985,985,3940,1892577.0,1883141,2041887.0,2052993,2194746,119294.0,121572,100035.0,3400.0,5617.0,681915,8565,15859,0,1,2729,474,2102,7,2858
2004-1-1-2,4008,2,2,8,462.0,305,1181.0,1068,522,439.0,443,346.0,73.0,77.0,3130,10,23,0,0,0,0,0,0,75
