"","DateTime","count","DepDelay","W"
"1","2008-1-1-",96,70.1875,6738
"2","2008-1-1-1",21,92.1428571428571,1935
"3","2008-1-1-10",1129,9.89991142604074,11177
"4","2008-1-1-11",1243,11.2333065164924,13963
"5","2008-1-1-12",1120,13.8044642857143,15461
"6","2008-1-1-13",1229,15.046379170057,18492
"7","2008-1-1-14",1211,19.3270024772915,23405
"8","2008-1-1-15",1151,21.0217202432667,24196
"9","2008-1-1-16",1213,20.1978565539984,24500
"10","2008-1-1-17",1199,23.9699749791493,28740
"11","2008-1-1-18",1145,27.6262008733624,31632
"12","2008-1-1-19",1186,29.8018549747049,35345
"13","2008-1-1-2",4,86.75,347
"14","2008-1-1-20",912,37.0274122807018,33769
"15","2008-1-1-21",801,40.3970037453184,32358
"16","2008-1-1-22",480,52.8958333333333,25390
"17","2008-1-1-23",214,64.0560747663551,13708
"18","2008-1-1-24",1,-10,-10
"19","2008-1-1-3",2,107.5,215
"20","2008-1-1-4",8,12.375,99
"21","2008-1-1-5",280,-3.18928571428571,-893
"22","2008-1-1-6",872,-0.549311926605505,-479
"23","2008-1-1-7",1001,2.2017982017982,2204
"24","2008-1-1-8",1041,5.17098943323727,5383
"25","2008-1-1-9",1074,6.15642458100559,6612
"26","2008-1-1-NA",554,NA,NA
"27","2008-1-10-",49,31.0408163265306,1521
"28","2008-1-10-1",11,40.7272727272727,448
"29","2008-1-10-10",1226,3.46818923327896,4252
"30","2008-1-10-11",1273,4.39198743126473,5591
"31","2008-1-10-12",1186,5.72765598650927,6793
"32","2008-1-10-13",1285,6.63424124513619,8525
"33","2008-1-10-14",1190,6.3436974789916,7549
"34","2008-1-10-15",1201,10.0124895920067,12025
"35","2008-1-10-16",1260,8.88968253968254,11201
"36","2008-1-10-17",1319,10.3047763457165,13592
"37","2008-1-10-18",1167,13.4832904884319,15735
"38","2008-1-10-19",1135,13.6281938325991,15468
"39","2008-1-10-2",3,21.3333333333333,64
"40","2008-1-10-20",866,19.8406466512702,17182
"41","2008-1-10-21",721,20.8196948682386,15011
"42","2008-1-10-22",303,34.6171617161716,10489
"43","2008-1-10-23",146,37.2465753424658,5438
"44","2008-1-10-4",9,-1.66666666666667,-15
"45","2008-1-10-5",450,-4.70888888888889,-2119
"46","2008-1-10-6",1384,-3.09609826589595,-4285
"47","2008-1-10-7",1248,-1.14583333333333,-1430
"48","2008-1-10-8",1279,1.28537920250195,1644
"49","2008-1-10-9",1253,3.16600159616919,3967
"50","2008-1-10-NA",341,NA,NA
"51","2008-1-11-",50,48.6,2430
"52","2008-1-11-1",13,65.7692307692308,855
"53","2008-1-11-10",1210,5.16776859504132,6253
"54","2008-1-11-11",1244,7.11736334405145,8854
"55","2008-1-11-12",1182,7.85194585448393,9281
"56","2008-1-11-13",1231,9.99756295694557,12307
"57","2008-1-11-14",1203,13.2252701579385,15910
"58","2008-1-11-15",1158,13.5569948186528,15699
"59","2008-1-11-16",1263,15.9580364212193,20155
"60","2008-1-11-17",1333,15.2430607651913,20319
"61","2008-1-11-18",1158,14.5466321243523,16845
"62","2008-1-11-19",1153,16.6634865568083,19213
"63","2008-1-11-2",3,9.33333333333333,28
"64","2008-1-11-20",867,19.7070357554787,17086
"65","2008-1-11-21",767,21.3324641460235,16362
"66","2008-1-11-22",280,23.6428571428571,6620
"67","2008-1-11-23",130,39.2692307692308,5105
"68","2008-1-11-24",2,7,14
"69","2008-1-11-3",2,124,248
"70","2008-1-11-4",10,-3.6,-36
"71","2008-1-11-5",425,-5.32470588235294,-2263
"72","2008-1-11-6",1411,-2.50460666194189,-3534
"73","2008-1-11-7",1263,-1.21456848772763,-1534
"74","2008-1-11-8",1228,0.928338762214984,1140
"75","2008-1-11-9",1239,2.87409200968523,3561
"76","2008-1-11-NA",524,NA,NA
"77","2008-1-12-",35,17.8571428571429,625
"78","2008-1-12-1",13,75.4615384615385,981
"79","2008-1-12-10",1129,2.91496899911426,3291
"80","2008-1-12-11",1188,1.87710437710438,2230
"81","2008-1-12-12",1103,1.4143245693563,1560
"82","2008-1-12-13",1149,2.42645778938207,2788
"83","2008-1-12-14",1091,1.52153987167736,1660
"84","2008-1-12-15",1006,2.50298210735586,2518
"85","2008-1-12-16",1109,1.13435527502254,1258
"86","2008-1-12-17",983,1.55951169888098,1533
"87","2008-1-12-18",877,2.35917901938426,2069
"88","2008-1-12-19",751,2.63914780292943,1982
